CGPA,Skills,Internship,Certifications,Aptitude,Projects,Placed
7.5,8,0,1,77,1,1
9.8,3,0,0,87,0,1
8.93,8,0,1,66,1,1
8.39,5,0,2,59,0,1
6.62,1,1,4,51,0,0
6.62,7,0,2,82,2,1
6.23,5,0,2,70,3,1
9.46,6,0,4,66,1,1
8.4,6,0,4,71,1,1
8.83,8,0,3,49,2,1
6.08,9,1,3,42,2,1
9.88,2,1,2,84,2,1
9.33,9,1,2,66,4,1
6.85,11,0,0,74,4,1
6.73,10,0,0,70,4,1
6.73,9,0,3,54,0,0
7.22,10,0,5,55,1,1
8.1,10,1,5,52,3,1
7.73,7,0,3,88,0,1
7.16,1,0,0,74,1,0
8.45,7,0,0,91,1,1
6.56,10,0,5,50,2,1
7.17,5,1,1,98,2,1
7.47,6,0,1,60,0,1
7.82,10,0,0,90,2,1
9.14,7,0,1,93,1,1
6.8,5,0,4,50,2,1
8.06,7,1,3,69,4,1
8.37,9,1,3,99,2,1
6.19,3,1,0,87,1,0
8.43,8,1,2,92,0,1
6.68,2,0,5,74,3,1
6.26,11,1,0,61,2,1
9.8,7,0,1,77,1,1
9.86,2,0,5,70,3,1
9.23,4,1,2,53,3,1
7.22,7,0,1,63,4,1
6.39,3,1,4,89,3,1
8.74,2,0,1,88,1,1
7.76,11,1,4,71,1,1
6.49,10,1,5,75,2,1
7.98,7,1,4,71,2,1
6.14,1,1,5,94,2,1
9.64,8,1,5,54,3,1
7.04,3,0,5,82,3,1
8.65,2,0,5,97,4,1
7.25,3,0,5,74,2,1
8.08,5,1,1,42,0,1
8.19,11,0,5,55,4,1
6.74,8,1,1,44,0,1
9.88,10,0,5,60,3,1
9.1,7,0,4,49,4,1
9.76,7,1,5,58,4,1
9.58,7,0,2,64,1,1
8.39,8,0,5,43,3,1
9.69,1,0,5,68,3,1
6.35,4,1,4,58,4,1
6.78,6,1,3,82,3,1
6.18,9,0,4,41,4,1
7.3,2,0,2,49,1,0
7.55,1,0,3,82,4,1
7.09,10,1,0,64,3,1
9.31,2,1,0,59,3,1
7.43,7,0,2,87,4,1
7.12,3,0,4,58,4,1
8.17,10,0,1,62,4,1
6.56,2,1,2,63,2,1
9.21,11,1,3,50,3,1
6.3,7,0,3,85,3,1
9.95,2,0,5,73,2,1
9.09,3,0,0,94,4,1
6.79,11,1,3,67,1,1
6.02,7,0,2,44,4,0
9.26,4,1,3,98,4,1
8.83,1,1,2,44,2,1
8.92,5,0,1,90,3,1
9.09,9,0,5,60,4,1
6.3,8,0,0,51,3,0
7.43,9,1,3,89,0,1
6.46,10,1,2,43,3,1
9.45,9,1,4,93,1,1
8.49,7,0,0,88,1,1
7.32,4,0,1,81,4,1
6.25,5,1,2,59,3,1
7.24,1,1,5,77,4,1
7.3,1,0,5,64,2,1
8.92,3,1,1,53,1,1
8.55,8,1,1,50,4,1
9.55,2,0,5,71,2,1
7.89,4,1,3,50,4,1
6.48,2,1,3,57,3,1
8.85,5,1,2,66,3,1
9.04,9,0,4,94,3,1
8.25,1,0,2,93,3,1
9.08,5,1,4,57,0,1
7.98,9,0,1,95,2,1
8.09,1,0,0,62,2,1
7.71,9,0,2,50,3,1
6.1,8,0,2,60,0,0
6.43,4,1,4,83,3,1
6.13,11,1,1,44,0,0
8.55,10,0,1,62,3,1
7.26,5,0,4,80,1,1
8.03,5,0,1,98,1,1
9.63,11,1,5,64,4,1
7.0,6,1,3,80,3,1
7.64,7,0,5,93,2,1
9.02,8,1,0,49,4,1
6.92,8,1,2,61,1,1
6.31,11,1,0,58,3,1
7.16,2,1,2,40,4,1
6.64,9,0,3,46,3,1
9.72,7,1,1,43,1,1
9.23,4,0,5,40,4,1
8.53,4,1,4,54,1,1
9.49,11,1,5,79,0,1
9.21,8,1,3,51,1,1
6.75,4,1,0,61,3,1
9.57,6,0,4,61,2,1
8.16,5,0,1,89,1,1
9.23,3,1,3,86,2,1
9.58,10,1,4,56,0,1
7.27,11,0,3,68,4,1
6.44,2,0,3,85,4,1
6.91,9,0,1,53,2,1
7.71,10,1,2,89,4,1
9.27,9,1,4,59,1,1
9.44,1,0,1,89,2,1
6.03,10,0,3,87,3,1
8.04,3,1,1,72,1,1
7.67,8,1,2,94,1,1
6.89,6,0,5,98,1,1
6.48,5,0,4,82,3,1
7.35,5,0,2,54,0,0
9.77,6,0,0,51,4,1
7.29,7,0,4,79,2,1
8.08,1,1,2,93,0,1
8.81,9,1,3,59,2,1
7.45,3,1,4,69,4,1
9.89,4,1,4,77,3,1
9.85,10,0,1,42,1,1
7.01,1,0,3,67,1,0
7.99,11,0,0,95,3,1
7.2,10,0,5,65,0,1
7.14,3,1,2,69,0,1
6.15,2,1,1,52,2,0
8.44,2,0,2,52,3,1
8.01,1,0,0,41,0,0
6.21,8,1,0,76,3,1
7.11,3,0,4,88,4,1
9.63,3,0,0,77,1,1
6.96,6,1,2,41,1,1
6.58,8,1,3,75,1,1
7.96,9,0,3,93,3,1
9.94,9,0,4,65,3,1
6.97,4,1,5,50,2,1
8.69,5,0,2,47,1,1
9.05,2,0,2,83,2,1
6.95,11,1,0,79,1,1
8.91,9,0,2,82,2,1
7.47,8,1,1,61,2,1
8.53,3,0,5,59,4,1
8.53,11,1,0,47,2,1
8.14,9,0,1,68,3,1
6.36,3,0,4,79,2,1
9.34,9,0,3,65,1,1
7.28,2,0,4,69,2,1
6.75,10,1,3,56,0,1
6.16,9,1,4,59,1,1
8.36,8,0,2,91,0,1
8.71,9,0,1,94,1,1
6.07,5,1,3,55,3,1
8.05,11,1,0,85,3,1
6.91,11,0,1,82,3,1
8.58,2,0,0,46,0,1
6.7,8,0,1,55,4,1
8.76,6,1,1,84,1,1
7.55,8,0,4,98,3,1
9.75,11,1,3,86,1,1
6.55,5,0,3,95,0,1
7.36,10,1,1,87,4,1
6.45,2,0,2,66,0,0
9.7,6,0,2,92,1,1
9.51,5,0,0,62,4,1
7.03,5,1,0,63,4,1
8.64,1,0,4,48,0,1
9.27,2,0,1,74,3,1
8.22,8,0,0,90,1,1
8.12,3,0,0,59,2,1
6.97,10,1,5,76,2,1
6.37,3,1,1,81,0,0
9.59,8,1,4,56,1,1
9.6,8,0,0,86,1,1
8.53,2,1,4,70,0,1
7.36,8,0,3,94,1,1
7.4,11,0,4,96,3,1
8.9,1,0,2,47,0,1
9.59,6,0,2,54,3,1
9.55,8,1,4,70,1,1
9.12,3,1,2,92,0,1
8.57,8,1,3,69,1,1
6.34,1,0,1,85,0,0
6.65,11,0,2,59,1,1
9.59,11,0,2,99,3,1
8.43,9,0,4,78,3,1
6.04,11,0,3,92,1,1
6.41,9,0,1,94,0,1
8.65,5,0,4,51,2,1
6.02,10,0,4,88,3,1
6.64,4,1,5,56,3,1
8.19,11,1,3,81,2,1
8.77,6,1,1,69,1,1
8.61,7,1,3,68,0,1
6.9,5,0,1,58,1,0
8.85,11,1,3,85,4,1
6.95,10,1,4,50,3,1
7.3,9,0,4,73,4,1
8.99,3,0,0,89,3,1
8.6,7,1,2,46,3,1
9.4,10,0,5,83,4,1
8.63,10,0,3,97,4,1
8.27,11,0,5,73,1,1
6.37,5,0,0,98,4,1
7.47,7,0,2,59,1,1
7.06,2,0,3,89,1,1
6.98,4,0,1,77,1,1
9.89,2,0,2,63,3,1
7.57,7,1,4,49,3,1
9.57,2,0,0,71,4,1
8.52,11,0,2,91,3,1
9.18,1,0,2,54,4,1
8.01,9,1,4,76,3,1
8.31,1,0,3,59,0,1
7.97,8,0,1,42,0,1
6.78,2,1,4,76,4,1
8.89,8,1,1,96,3,1
7.12,3,0,3,79,3,1
6.1,6,1,2,47,1,0
8.58,3,0,1,79,2,1
6.71,7,0,0,83,4,1
9.76,10,0,0,95,2,1
9.82,9,0,4,62,2,1
9.66,2,1,3,79,4,1
7.48,5,0,4,50,3,1
6.06,6,0,4,85,4,1
9.71,4,1,5,47,2,1
7.71,4,1,4,68,3,1
9.87,4,0,5,69,0,1
9.85,2,1,0,95,4,1
9.41,4,0,0,99,4,1
7.18,11,1,4,49,3,1
7.54,1,1,0,78,0,1
9.4,6,1,3,67,0,1
7.27,1,0,5,88,3,1
6.68,10,0,5,75,1,1
8.23,6,0,4,52,4,1
9.74,1,0,0,71,4,1
8.78,6,0,1,75,2,1
8.28,10,1,5,76,3,1
6.39,8,0,4,65,2,1
8.46,11,0,4,61,2,1
9.96,2,1,3,43,0,1
6.56,2,0,2,70,4,1
8.07,4,1,2,57,2,1
9.51,11,0,5,77,0,1
8.96,3,0,3,63,3,1
8.79,4,0,3,95,2,1
8.81,7,0,3,62,4,1
7.44,11,1,5,61,2,1
7.17,1,0,2,41,3,0
9.24,6,0,3,70,2,1
9.24,3,0,0,94,4,1
9.47,11,0,4,50,0,1
9.65,10,1,4,67,4,1
8.05,7,0,1,85,0,1
8.01,10,1,1,71,1,1
9.19,2,1,5,44,4,1
8.6,2,0,5,77,4,1
8.81,4,1,4,49,3,1
9.18,1,0,0,79,2,1
9.56,3,0,2,85,0,1
7.35,9,0,2,63,0,1
7.5,7,1,5,74,3,1
6.38,7,1,0,83,3,1
8.31,11,0,5,87,2,1
6.14,4,1,2,99,2,1
7.86,2,0,5,62,4,1
8.17,4,0,3,56,1,1
7.15,6,0,5,40,2,1
8.36,11,1,4,94,3,1
6.12,11,1,5,70,2,1
6.15,3,0,4,70,0,0
9.29,1,0,0,81,1,1
7.44,8,0,2,96,4,1
6.51,5,0,1,94,0,0
8.09,5,0,1,81,0,1
9.08,11,1,2,92,1,1
6.86,4,0,1,95,4,1
8.49,6,0,5,73,3,1
6.34,3,0,0,48,4,0
6.21,9,1,0,61,2,1
8.13,5,1,2,52,0,1
8.16,3,0,1,64,2,1
8.55,11,1,5,87,3,1
8.9,1,0,0,57,2,1
9.9,10,0,0,90,4,1
8.07,6,0,3,51,2,1
7.29,2,0,3,79,3,1
9.18,3,0,0,56,3,1
7.08,1,1,2,54,3,1
7.76,9,1,4,81,4,1
6.31,8,1,4,54,3,1
6.1,2,0,5,54,0,0
9.85,11,0,0,94,3,1
9.34,8,1,0,78,2,1
8.78,9,0,0,52,2,1
7.64,1,0,2,56,2,1
6.69,5,0,3,71,4,1
6.63,8,1,0,48,2,1
7.0,11,0,0,79,4,1
8.2,2,0,1,59,4,1
8.86,4,1,2,65,3,1
8.64,7,0,5,66,0,1
7.12,3,0,0,60,3,1
9.82,5,0,1,57,3,1
8.95,8,0,4,52,4,1
8.22,10,1,5,55,4,1
8.45,3,0,0,48,2,1
7.68,4,0,0,51,2,1
6.99,9,1,1,83,3,1
7.42,7,1,2,77,1,1
9.03,1,1,0,58,1,1
6.06,4,0,4,99,2,1
6.46,4,0,0,46,1,0
6.18,9,1,4,96,2,1
6.16,6,1,5,74,4,1
9.42,9,0,5,87,3,1
8.81,6,0,3,57,0,1
7.9,6,0,3,55,3,1
6.39,5,1,4,94,2,1
7.97,5,0,2,78,2,1
7.89,2,0,0,43,3,1
6.69,8,0,0,98,2,1
7.74,8,1,3,64,1,1
7.59,11,1,4,71,1,1
8.46,1,0,0,79,2,1
8.54,8,1,0,52,2,1
6.18,5,1,2,84,1,1
7.5,2,0,1,56,2,1
8.5,2,0,3,88,2,1
8.01,6,0,3,76,3,1
9.43,11,1,1,45,0,1
8.63,9,0,0,58,1,1
6.65,1,1,2,52,3,1
6.28,6,1,2,96,0,1
8.57,9,0,3,99,2,1
6.11,8,1,2,65,2,1
8.34,11,0,5,53,3,1
9.76,6,0,1,70,2,1
8.3,3,1,0,93,4,1
7.55,8,1,5,43,3,1
8.57,9,0,1,99,0,1
7.83,1,1,4,78,3,1
8.18,9,1,3,47,1,1
9.77,6,0,2,64,3,1
7.54,6,1,4,52,2,1
9.84,4,0,2,71,2,1
9.62,1,0,5,98,4,1
6.78,10,0,0,77,4,1
6.28,8,1,0,77,4,1
6.4,2,1,0,95,0,0
6.07,1,0,2,67,4,0
6.38,2,0,4,92,0,0
8.73,1,1,0,69,4,1
6.28,1,0,4,42,0,0
7.28,9,1,2,67,3,1
9.38,1,1,5,42,3,1
6.09,4,0,4,84,2,1
9.26,10,1,5,93,0,1
7.13,6,0,2,73,1,1
6.47,7,1,2,55,2,1
8.79,2,1,3,61,3,1
8.52,6,1,2,71,0,1
9.51,7,0,2,77,4,1
8.94,10,1,1,47,1,1
9.21,10,0,0,94,3,1
7.13,2,0,3,47,2,1
6.71,2,0,3,96,0,0
9.0,10,0,3,45,1,1
9.23,7,0,1,53,0,1
9.96,1,1,5,71,4,1
7.65,8,1,2,74,2,1
7.49,11,0,0,49,0,1
9.11,3,1,4,42,3,1
7.36,11,0,5,98,2,1
9.72,6,1,2,51,3,1
9.43,9,1,1,88,0,1
7.72,6,0,2,98,2,1
9.0,9,1,2,70,3,1
9.02,7,0,1,68,4,1
6.41,9,0,3,44,4,1
9.61,2,1,3,91,0,1
8.02,8,0,0,64,2,1
9.31,8,0,0,80,1,1
7.28,2,0,3,70,2,1
9.58,4,1,5,60,4,1
7.56,11,0,4,97,3,1
6.04,7,0,2,59,1,0
9.62,11,1,4,78,0,1
6.37,4,1,2,61,1,1
7.28,4,0,3,43,0,0
9.8,6,0,0,52,1,1
9.8,10,0,5,84,0,1
8.29,6,0,0,81,0,1
8.53,10,0,4,89,1,1
7.79,3,1,0,88,1,1
7.17,9,1,3,59,0,1
7.31,10,1,5,91,4,1
8.69,11,0,4,52,1,1
9.01,2,1,5,56,2,1
9.17,6,0,2,93,3,1
9.16,7,1,0,75,0,1
6.36,9,1,5,72,0,1
7.98,3,0,1,40,3,1
6.23,10,1,0,54,4,1
8.2,3,0,2,52,3,1
7.77,7,1,5,56,1,1
9.55,4,0,4,63,3,1
7.4,8,0,2,97,0,1
6.47,7,1,1,47,3,1
6.57,5,0,5,89,2,1
9.05,7,1,3,66,1,1
8.47,3,0,0,84,3,1
6.4,2,1,4,62,0,0
6.34,6,1,3,85,1,1
8.8,2,0,5,47,0,1
6.29,3,0,5,47,4,1
9.29,6,0,2,98,2,1
8.82,5,0,5,65,4,1
6.33,8,0,4,86,2,1
6.34,9,1,3,98,3,1
9.95,11,1,4,52,1,1
7.5,3,1,1,78,3,1
7.48,10,1,1,76,2,1
9.25,3,1,0,88,2,1
9.79,3,1,0,67,2,1
9.94,6,0,1,64,0,1
9.01,1,1,5,55,1,1
7.51,7,1,4,94,3,1
6.33,1,0,1,41,3,0
9.11,5,0,0,93,4,1
8.23,10,0,1,57,2,1
7.7,8,0,5,56,2,1
9.63,4,1,1,69,2,1
6.44,5,0,4,78,3,1
7.97,4,0,3,52,4,1
6.05,4,1,5,71,0,1
7.87,8,0,0,89,1,1
6.23,2,0,4,68,0,0
6.48,1,0,1,85,3,0
6.47,3,1,1,69,2,1
8.6,9,1,3,57,1,1
8.98,4,0,0,52,3,1
8.33,10,1,0,82,3,1
9.85,5,0,2,60,3,1
7.5,2,1,0,69,1,1
7.14,4,1,3,60,1,1
9.47,2,1,2,87,4,1
6.89,2,0,2,94,4,1
9.85,4,1,1,56,0,1
6.05,6,1,1,79,1,1
9.88,7,0,0,58,1,1
6.17,10,1,2,91,1,1
9.56,3,0,1,54,4,1
8.11,3,1,3,48,3,1
9.97,10,0,1,91,2,1
6.3,6,1,5,49,4,1
8.22,3,0,5,83,1,1
9.88,2,0,1,70,4,1
8.09,8,0,2,92,0,1
8.52,5,0,2,62,1,1
8.78,1,0,4,91,0,1
7.82,3,0,5,69,1,1
8.51,10,0,3,72,4,1
8.34,8,0,2,96,3,1
9.6,4,0,0,91,2,1
6.18,7,1,5,48,0,1
7.12,10,0,3,93,4,1
9.8,2,1,3,86,3,1
9.56,7,1,2,40,4,1
7.82,5,1,3,83,0,1
8.48,5,0,2,74,2,1
7.11,6,1,1,50,4,1
6.75,9,0,5,73,1,1
7.85,6,0,4,55,3,1
7.41,8,0,1,48,4,1
8.33,7,1,5,71,3,1
6.31,9,0,2,54,1,0
9.9,4,0,5,51,2,1
9.94,2,1,2,72,2,1
8.79,7,1,1,84,1,1
8.14,6,0,0,53,3,1
7.24,1,0,0,96,4,1
9.26,11,1,5,96,1,1
8.74,9,0,0,47,0,1
6.65,9,0,2,47,3,1
9.64,2,0,3,66,2,1
9.29,3,1,2,51,1,1
9.8,5,1,3,40,2,1
8.9,5,1,1,82,3,1
8.45,1,1,4,79,2,1
7.67,8,0,3,81,1,1
9.73,8,0,0,90,3,1
9.46,4,0,2,50,0,1
6.18,7,0,1,78,1,0
6.11,11,0,0,82,4,1
7.51,10,1,1,70,1,1
9.24,3,1,4,56,3,1
9.95,6,1,2,72,1,1
6.6,10,0,5,71,0,1
8.38,10,1,2,97,0,1
7.52,9,1,4,68,4,1
9.88,1,0,2,60,2,1
9.37,5,1,5,60,3,1
9.35,4,0,3,79,3,1
7.87,8,0,1,62,2,1
7.66,11,0,5,95,0,1
7.09,1,0,0,45,0,0
6.23,9,0,4,61,1,1
9.46,6,1,3,89,4,1
9.25,4,1,0,77,4,1
10.0,9,1,0,76,4,1
9.99,11,1,4,84,1,1
8.22,5,0,3,90,4,1
9.08,5,1,0,93,2,1
9.78,5,0,0,47,1,1
9.4,1,0,3,80,2,1
6.99,1,0,2,88,1,1
7.8,8,0,0,74,4,1
6.52,8,0,1,90,2,1
9.82,6,0,3,50,2,1
8.42,11,0,0,63,2,1
6.91,4,1,4,88,1,1
8.69,2,0,5,60,3,1
8.47,2,0,1,90,4,1
7.43,9,0,5,41,2,1
6.45,5,1,5,79,3,1
8.69,4,0,0,58,4,1
8.08,10,0,1,78,4,1
9.09,1,0,1,67,2,1
8.08,7,0,2,98,2,1
9.41,3,0,5,56,1,1
8.21,6,0,1,45,3,1
8.24,5,0,2,58,3,1
9.51,5,0,3,95,2,1
7.61,11,0,2,77,4,1
6.54,5,1,4,67,2,1
6.12,1,0,0,41,4,0
9.02,1,0,3,77,4,1
8.48,3,0,3,94,2,1
8.82,10,1,4,76,0,1
6.85,4,0,2,90,3,1
6.55,5,0,0,91,4,1
6.06,2,1,2,43,4,1
7.4,8,0,1,61,0,1
8.36,11,0,2,65,1,1
7.57,11,0,3,88,0,1
7.75,2,1,0,82,0,1
9.62,9,0,2,75,4,1
7.39,2,1,0,97,3,1
8.06,9,1,0,52,0,1
9.13,7,0,1,91,1,1
7.59,8,0,1,97,2,1
8.49,11,0,3,71,0,1
9.45,2,0,4,56,0,1
9.8,7,0,0,80,1,1
6.59,6,1,4,75,3,1
9.71,4,1,3,94,0,1
7.97,7,1,0,99,0,1
7.03,4,0,0,85,3,1
7.84,2,1,5,58,1,1
9.92,10,1,4,97,0,1
7.97,7,1,2,99,3,1
7.32,8,0,1,74,0,1
8.53,2,1,2,85,2,1
6.96,5,0,4,79,4,1
